Sample2,Species,Common_name,Taxa,Sex,Situ,Location,Country,CollectionYear,TissueStorage,SampleType,ExtractionKit,Environment
Bird54,Carduelis carduelis,Goldfinch,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird55,Carduelis carduelis,Goldfinch,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird56,Carduelis carduelis,Goldfinch,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird57,Parus major,Great tit,Bird,Female,Wild,"Lincolnshire, UK",UK,2019,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird58,Parus major,Great tit,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird59,Parus major,Great tit,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird60,Parus major,Great tit,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird61,Parus major,Great tit,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird62,Parus major,Great tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird63,Parus major,Great tit,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird64,Parus major,Great tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
LB-BG1,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial
LB-BG10,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial
LB-BG2,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial
LB-BG3,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial
LB-BG4,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial
LB-BG5,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial
LB-BG6,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial
LB-BG7,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial
LB-BG8,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial
LB-BG9,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial
Bird41,Emberiza schoeniclus,Reed bunting,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird42,Emberiza schoeniclus,Reed bunting,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird43,Emberiza schoeniclus,Reed bunting,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird44,Emberiza schoeniclus,Reed bunting,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird45,Emberiza schoeniclus,Reed bunting,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird46,Emberiza schoeniclus,Reed bunting,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird47,Emberiza schoeniclus,Reed bunting,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird48,Emberiza schoeniclus,Reed bunting,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird10,Acrocephalus scirpaceus,Reed warbler,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird11,Acrocephalus scirpaceus,Reed warbler,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird12,Acrocephalus scirpaceus,Reed warbler,Bird,Female,Wild,"Lincolnshire, UK",UK,2019,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird13,Acrocephalus scirpaceus,Reed warbler,Bird,Male,Wild,"Lincolnshire, UK",UK,2019,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird14,Acrocephalus scirpaceus,Reed warbler,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird15,Acrocephalus scirpaceus,Reed warbler,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird16,Acrocephalus scirpaceus,Reed warbler,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird9,Acrocephalus scirpaceus,Reed warbler,Bird,Female,Wild,"Lincolnshire, UK",UK,2019,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird17,Erithacus rubecula,Robin,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird18,Erithacus rubecula,Robin,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird19,Erithacus rubecula,Robin,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird20,Erithacus rubecula,Robin,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird21,Erithacus rubecula,Robin,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird22,Erithacus rubecula,Robin,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird23,Erithacus rubecula,Robin,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird24,Erithacus rubecula,Robin,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
T1,Turdus philomelos,Song thrush,Bird,Unknown,Wild,"Wenvoe, South Glamorgan, Wales",UK,2015,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
T19,Turdus philomelos,Song thrush,Bird,Unknown,Wild,"Wenvoe, South Glamorgan, Wales",UK,2015,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
T45,Turdus philomelos,Song thrush,Bird,Unknown,Wild,"Wenvoe, South Glamorgan, Wales",UK,2015,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
T53,Turdus philomelos,Song thrush,Bird,Unknown,Wild,"Wenvoe, South Glamorgan, Wales",UK,2015,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
T54,Turdus philomelos,Song thrush,Bird,Unknown,Wild,"Wenvoe, South Glamorgan, Wales",UK,2015,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
T66,Turdus philomelos,Song thrush,Bird,Unknown,Wild,"Wenvoe, South Glamorgan, Wales",UK,2015,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
T75,Turdus philomelos,Song thrush,Bird,Unknown,Wild,"Wenvoe, South Glamorgan, Wales",UK,2015,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
T85,Turdus philomelos,Song thrush,Bird,Unknown,Wild,"Wenvoe, South Glamorgan, Wales",UK,2015,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
E99,Columba oenas,Stock dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
F1,Columba oenas,Stock dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
F10,Columba oenas,Stock dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
F11,Columba oenas,Stock dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
